"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"Category cues given"	"Numeric"	"0-5"	"Score"	"delayed_cues"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"Correct with category cues"	"Numeric"	"0-5"	"Score"	"delayed_uses_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"Phonemic cues given"	"Numeric"	"0-5"	"Score"	"delayed_phone_cues"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"Correct with phonemic cues"	"Numeric"	"0-5"	"Score"	"delayed_phone_cues_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"10. Delayed Recall"	"HVLT intrusions"	"Numeric"	">=0"	"Score"	"hvlt_intrusions"		"yes"	"yes"			"no"	"no"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What date is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_date_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What month is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_month_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What year is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_year_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What day is it?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_day_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What place is this?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_place_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"11. Orientation"	"What city is this?"	"Nominal Code"	"0=Incorrect;1=Correct"	"Score"	"what_city_2"		"yes"	"yes"			"no"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"NA"	"Total score (Adjusted up 1 point if the subject had 12 or fewer years of education. Missing if the subject does not have education information.)"	"Numeric"	"0-30"	"Score"	"moca_score"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"NA"	"Total score - unadjusted for educational attainment"	"Numeric"	"0-30"	"Score"	"moca_score_unadjusted"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Montreal Cognitive Assessment"	"11/12/2004 (PaNUC)"	"MoCA"	"NA"	"The moca score correction value based on educational attainment (12 or fewer years of education = 1; greater than 12 years of education=0)"	"Numeric"	"0-30"	"Score"	"moca_education_adjustment"	"Y"	"yes"	"yes"			"yes"	"yes"	"no"		
"Shipley-2"	"PaNUC"	"Shipley"	"NA"	"Age at Shipley Administration"	"Numeric"	">=0"	"Years"	"age_ship"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Shipley-2"	"PaNUC"	"Shipley"	"NA"	"Shipley-2 Score"	"Numeric"	"0-40"	"Score"	"shipley_2"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Age at NACC Stroop Administration"	"Numeric"	">=0"	"Years"	"age_stroop_nacc"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Time in seconds"	"Numeric"	"0-n"	"Seconds"	"stroop_reading_words_time"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Errors"	"Numeric"	"0-n"	"Errors"	"stroop_reading_words_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Self-corrected Errors"	"Numeric"	"0-n"	"Errors"	"stroop_reading_sc_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Time in seconds"	"Numeric"	"0-n"	"Seconds"	"stroop_naming_colors_time"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Errors"	"Numeric"	"0-n"	"Errors"	"stroop_naming_colors_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Self-corrected Errors"	"Numeric"	"0-n"	"Errors"	"stroop_naming_sc_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Time in seconds"	"Numeric"	"0-n"	"Seconds"	"stroop_interference_time"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Errors"	"Numeric"	"0-n"	"Errors"	"stroop_interference_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Self-corrected Errors"	"Numeric"	"0-n"	"Errors"	"stroop_inter_sc_errors_nacc"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Total time"	"Numeric"	"0-n"	"Seconds"	"stroop_total_time"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Total errors"	"Numeric"	"0-n"	"Errors"	"stroop_total_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"NACC"	"NACC Stroop"	"NA"	"Total self-corrected errors"	"Numeric"	"0-n"	"Errors"	"stroop_total_sc_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Age at Golden Stroop Administration"	"Numeric"	">=0"	"Years"	"age_stroop_gold"	"Y"	"yes"	"yes"			"yes"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Reading words corrrect"	"Numeric"	"0-n"	"Score"	"stroop_reading_words_correct"		"yes"	"yes"			"yes"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Reading words errors"	"Numeric"	"0-n"	"Errors"	"stroop_reading_words_errors"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Reading words self-corrected errors"	"Numeric"	"0-n"	"Errors"	"stroop_reading_sc_errors_golden"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Naming colors correct"	"Numeric"	"0-n"	"Score"	"stroop_naming_colors_correct"		"yes"	"yes"			"yes"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Naming colors errors"	"Numeric"	"0-n"	"Errors"	"stroop_naming_colors_errors"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Naming colors self-corrected errors"	"Numeric"	"0-n"	"Errors"	"stroop_naming_sc_errors_golden"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Interference correct"	"Numeric"	"0-n"	"Score"	"stroop_interference_correct"		"yes"	"yes"			"yes"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Interference errors"	"Numeric"	"0-n"	"Errors"	"stroop_interference_errors"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Interference self-corrected errors"	"Numeric"	"0-n"	"Errors"	"stroop_inter_sc_errors_golden"		"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Total  correct"	"Numeric"	"0-n"	"Score"	"gstroop_total_correct"	"Y"	"yes"	"yes"			"yes"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Total errors"	"Numeric"	"0-n"	"Errors"	"gstroop_total_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Golden (45 seconds per section)"	"Golden Stroop"	"NA"	"Total self-corrected errors"	"Numeric"	"0-n"	"Errors"	"gstroop_total_sc_errors"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Age at Comali-Kaplan Stroop Administration"	"Numeric"	">=0"	"Years"	"age_stroop_com"	"Y"	"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Word number of errors"	"Numeric"		"Errors"	"stroop_reading_words_errors_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Word half-way time"	"Numeric"		"Seconds"	"stroop_reading_words_halftime_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Word total time"	"Numeric"		"Seconds"	"stroop_reading_words_time_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Color number of errors"	"Numeric"		"Errors"	"stroop_naming_colors_errors_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Color half-way time"	"Numeric"		"Seconds"	"stroop_naming_colors_halftime_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Color total time"	"Numeric"		"Seconds"	"stroop_naming_colors_time_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Interference number of errors"	"Numeric"		"Errors"	"stroop_interference_errors_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Interference half-way time"	"Numeric"		"Seconds"	"stroop_interference_halftime_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Stroop"	"Comali-Kaplan"	"CK Stroop"	"NA"	"Interference total time"	"Numeric"		"Seconds"	"stroop_interference_time_ck"		"no"	"no"	"no"	"no"	"no"	"no"	"yes"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Age at Tower of London Administration"	"Numeric"	">=0"	"Years"	"age_tol"	"Y"	"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total correct score"	"Numeric"	"0-10"	"Score"	"tol_total_correct"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total move score"	"Numeric"	"0-n"	"Score"	"tol_total_move"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total initiation time"	"Numeric"	"0-n"	"Seconds"	"tol_total_initiation_time"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total execution time"	"Numeric"	"0-n"	"Seconds"	"tol_total_execution_time"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total time"	"Numeric"	"0-n"	"Seconds"	"tol_total_time"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total time violations"	"Numeric"	"0-10"	"Errors"	"tol_total_time_violations"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total Type 1 violations"	"Numeric"	"0-n"	"Errors"	"tol_type_1_violations"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total Type 2 violoations"	"Numeric"	"0-n"	"Errors"	"tol_type_2_violations"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total rule violations"	"Numeric"	"0-n"	"Errors"	"tol_total_rule_violations"		"yes"	"yes"			"no"	"no"	"no"		
"Tower of London"	"PaNUC"	"TOL"	"NA"	"Total stimulus bound"	"Numeric"	"0-n"		"tol_total_stimulus_bound"		"yes"	"yes"			"no"	"no"	"no"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Age at Trail Making Test Administration"	"Numeric"	">=0"	"Years"	"age_trails"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Time to completion, part A"	"Numeric"	"<150 seconds"	"Seconds"	"trails_a_seconds"		"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Time to completion, part A; Subjects who took longer than 150 seconds had their time set to 150 seconds"	"Numeric"	"<=150 seconds"	"Seconds"	"trails_a_seconds_utc150"	"Y"	"yes"	"yes"			"yes"	"yes"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Errors, part A"	"Numeric"	"0-25"	"Errors"	"trails_a_errors"		"yes"	"yes"			"no"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Time to completion, part B"	"Numeric"	"<300 seconds"	"Seconds"	"trails_b_seconds"		"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Time to completion, part B; Subjects who were unable to complete trails part B but did complete trails part A had their time set to 300 seconds"	"Numeric"	"<300 seconds"	"Seconds"	"trails_b_seconds_utc300"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Errors, part B"	"Numeric"	"0-25"	"Errors"	"trails_b_errors"		"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Trial B Time to Completion minus Trial A Time to Completion"	"Numeric"	">=-150 & <=300"	"Seconds"	"trails_time_b_minus_a"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"150 seconds A; 300 seconds B"	"Trails"	"NA"	"Trial B Time to Completion minus Trial A Time to Completion (using the trails_b_seconds_utc300 and trails_a_seconds_utc150 variables which sets trails time a to 150 and trails time b to 300 seconds)"	"Numeric"	">=-150 & <=300"	"Seconds"	"trails_time_b_a_utc"	"Y"	"yes"	"yes"			"yes"	"no"	"yes"		
"Trail Making Test"	"180 seconds A; 300 seconds B"	"Trails Emory"	"NA"	"Time to completion, part A (uses the trails_time_b_a_utc300 variable for calculation)"	"Numeric"	"<180 seconds"	"Seconds"	"trails_a_seconds_180"		"no"	"no"	"no"	"no"	"yes"	"no"	"no"		
"Trail Making Test"	"180 seconds A; 300 seconds B"	"Trails Emory"	"NA"	"Errors, part A"	"Numeric"	"0-25"	"Errors"	"trails_a_errors_180"		"no"	"no"	"no"	"no"	"yes"	"no"	"no"		
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"1"	"Walk around house"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_1"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"2"	"Walk up down stairs"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_2"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"3"	"Bend over pick up slipper"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_3"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"4"	"Reach small can"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_4"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"5"	"Stand on tip toes"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_5"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"6"	"Stand on chair"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_6"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"7"	"Sweep floor"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_7"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"8"	"Walk outside to car"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_8"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"9"	"Get in or out car"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_9"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"10"	"Walk across park lot"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_10"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"11"	"Walk up down ramp"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_11"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"12"	"Walk crowded mall"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_12"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"13"	"Bumped into"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_13"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"14"	"Escalator railing"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_14"		"yes"	"yes"							
"Activities-specific Balance Confidenc"	"PaNUC - abc"	"ABC"	"15"	"Escalator parcels"	"Numeric"	"0 10 20 30 40 50 60 70 80 90 200"	"%"	"abc_15"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"1"	"Freezing episodes past month"	"Numeric"	"1=Not experience over past mo;2=Have experienced over past mo"		"fogq_1"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"2"	"How frequently"	"Numeric"	"0=Less than 1/wk; 1=Not often, about 1/wk; 2=Often, about 1/day;3=Very often, more than 1/day"		"fogq_2"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"3"	"How frequently: turning"	"Numeric"	"0=Never; 1=Rarely, about 1/mo;2=Not often, about 1/wk;3=Often, about 1/day;4=Very often, more than 1/day"		"fogq_3"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"4"	"How long: turning"	"Numeric"	"1=Very short, 1sec; 2=Short, 2-5sec; 3=Long, 5-30sec; 4=Very long, unable to walk > 30s"		"fogq_4"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"5"	"How frequently: 1st step"	"Numeric"	"0=Never; 1=Rarely, about 1/mo;2=Not often, about 1/wk;3=Often, about 1/day;4=Very often, more than 1/day"		"fogq_5"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"6"	"How long: 1st step"	"Numeric"	"1=Very short, 1sec; 2=Short, 2-5sec; 3=Long, 5-30sec; 4=Very long, unable to walk > 30s"		"fogq_6"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"7"	"How disturbing"	"Numeric"	"0=Not al all;1=Very little;2=Moderately;3=Significantly"		"fogq_7"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"8"	"Insecurity and fear"	"Numeric"	"0=Not al all;1=Very little;2=Moderately;3=Significantly"		"fogq_8"		"yes"	"yes"							
"Freezing of Gait"	"PaNUC - fog"	"FOG"	"9"	"Affect daily activites"	"Numeric"	"0=Not at all, normal;1=Mildly, avoid a few;2=Moderately, avoid signif amount;3=Severely, very restricted"		"fogq_9"		"yes"	"yes"							
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"1"	"Sit to stand"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_sit_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"2"	"Rise to toes"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_rise_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"3"	"Stand on 1 leg, left score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_standls_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"3"	"Stand on 1 leg, right score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_standrs_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"4"	"Compensatory stepping forward"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_compfor_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"5"	"Compensatory stepping backward"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_compback_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"6"	"Compensatory stepping lateral, left"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_complatl_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"6"	"Compensatory stepping lateral, right"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_complatr_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"7"	"Stance, eyes open, firm surface, score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_stanceopens_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"8"	"Stance, eyes closed, foam surface, score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_stancecloseds_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"9"	"Incline, eyes closed, score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_inclines_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"10"	"Change in gait speed"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_chgspeed_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"11"	"Walk with head turns, horizontal"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_headturns_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"12"	"Walk with pivot turns"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_pivotturns_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"13"	"Step over obstacles"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_obstacles_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"14"	"Timed up & go dual, time(sec)"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_tugdualt_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"	"14"	"Timed up & go, score"	"Numeric"	"0=severe,1=moderate,2=normal"		"mbt_tugs_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"		"Anticipatory score 0-6"	"Numeric"	"0-6"		"mbt_s_antic_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"		"Reactive postural control score 0-6"	"Numeric"	"0-6"		"mbt_s_react_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"		"Sensory orientation score 0-6"	"Numeric"	"0-6"		"mbt_s_sens_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"		"Dynamic gait score 0-10"	"Numeric"	"0-10"		"mbt_s_dyna_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Mini-BESTest"	"PANUC - minibes_test"	"MBT"		"Total score 0-28"	"Numeric"	"0-28"		"mbt_s_total_m0"	"Y"	"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Height (ft component), clinic visit"				"ubis_htft_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Height (inches component), clinic visit"				"ubis_htin_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Weight (lbs), clinic visit"			"lbs"	"ubis_wt_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Falls in last 6 mo"				"ubis_falls_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
"Udall Basic Information"	"PANUC - udall_basicinfo"	"UBIS"		"Falls detail"				"ubis_fallsdet_cl"		"?"	"yes"							"suffix=(cl=clinic visit;gt=gait visit)"
